3925 3998
1351 2140 13
2891 221 13
255 1950 79
3194 1996 40
880 2666 32
3208 774 95
2961 1089 41
3359 3771 27
2766 3922 75
578 3907 34
2865 468 18
2028 2015 87
2104 2035 85
1416 2632 19
4 2473 17
1728 3020 94
3128 3464 45
1043 1808 98
623 2578 14
3562 3634 70
1886 250 61
3071 1090 14
1172 3130 36
1430 313 55
1891 3310 35
471 151 91
3783 3758 48
3037 1852 74
3897 2850 61
1380 178 63
372 2829 88
2645 607 41
3166 541 40
3856 457 31
1785 1970 54
2966 2796 49
973 2847 90
1131 419 90
1365 1213 84
3318 729 10
1785 815 57
221 1572 97
229 2082 34
2734 2973 18
2713 763 25
586 2993 60
693 1125 11
2181 1834 12
3344 2957 70
3652 447 33
1401 3028 18
630 1640 10
2797 1784 26
656 908 12
2231 3890 47
3909 226 80
1212 2275 73
2270 190 53
1476 3401 37
3700 154 63
466 3480 88
1164 1785 40
3576 818 41
1585 2412 75
1721 1374 78
158 3527 19
2077 2196 95
202 1605 31
3884 3544 39
2535 1115 85
3248 2801 14
2119 152 41
2155 869 22
2368 2857 38
870 253 86
1113 1176 51
3631 3212 66
3649 1856 35
3890 2763 97
2946 1053 86
3771 3696 69
1007 3916 75
63 692 48
1022 1901 70
3661 3861 26
1724 2176 56
101 3590 61
829 3360 99
3525 2593 54
3862 1203 64
1466 1619 97
443 3398 74
1878 2422 52
881 1986 51
3115 1351 27
3293 426 94
2315 3487 11
2673 2260 93
1761 2889 54
3481 3273 37
2960 684 73
2611 528 75
663 2706 34
3592 3245 23
56 617 100
814 3818 54
1652 2459 42
426 1748 18
2089 3402 49
2233 2626 88
3579 319 44
2680 2051 96
1521 3068 60
3900 2121 54
2139 2144 27
11 1450 10
1731 1277 81
1171 2849 11
3370 666 78
2299 3663 36
2617 3106 37
876 584 87
1996 2843 91
2058 3546 74
3491 2134 22
2500 35 16
694 2638 62
1815 2682 29
640 2331 51
2419 713 55
3557 1266 21
1038 739 73
3830 3427 73
3919 1663 23
2728 3694 87
238 1164 46
620 3791 57
193 122 56
1606 2331 58
82 3466 98
3598 3586 21
562 3119 72
51 3649 99
3157 1041 24
405 654 82
3119 219 52
432 1589 94
601 3257 28
651 85 91
2216 393 97
1280 1867 85
3548 1087 17
3391 3800 90
372 1448 58
2496 3844 47
2169 740 93
1418 2534 69
1544 3657 19
455 2499 13
161 1132 81
322 180 76
987 796 68
2919 2065 87
39 1367 16
248 2223 20
3024 2694 26
1376 645 42
638 882 44
1806 3415 98
2959 1464 97
1449 3453 16
144 2060 79
830 3128 98
1275 736 21
2571 1130 47
2484 2186 27
611 221 53
3898 735 34
738 2197 28
2143 3397 40
923 3461 93
531 3475 40
597 2517 51
2380 1161 78
2602 1711 74
2967 2568 18
592 2747 98
3341 2087 80
2416 1522 13
1815 958 30
2390 1700 94
1253 802 35
148 3846 83
1775 2011 59
804 556 77
2680 1086 26
1228 544 85
3535 3159 78
796 3853 97
3557 253 24
2454 3475 31
1085 399 93
26 1684 57
3087 1565 27
3009 2683 17
2854 2011 67
2583 686 88
785 3477 17
1782 2603 63
873 515 30
227 1671 82
2002 77 56
1741 2966 38
2268 2640 56
132 2565 11
2925 3624 59
2959 400 99
367 3238 65
974 1787 48
1634 2657 27
3112 2684 75
1963 2184 36
1822 2571 77
3468 387 85
2279 2413 86
793 275 13
940 320 45
2439 3642 32
2310 460 23
1338 3290 77
3133 1220 78
2860 80 37
1467 2125 32
1642 3328 65
3381 667 48
3522 3038 36
797 2222 54
3550 3771 95
3171 2423 62
1479 2890 26
3080 3163 51
2458 2109 90
3856 3002 100
2423 2868 56
1214 2352 59
2065 1923 67
3425 1139 99
504 2935 19
2839 804 64
1529 968 98
2978 827 55
2578 294 62
2568 290 27
2681 901 56
241 1352 28
289 2607 58
3859 309 82
910 3476 96
3912 2195 88
2621 2062 22
1148 1741 42
2650 408 72
1718 2007 74
1203 3750 62
1393 937 13
3177 1249 36
233 3012 24
1356 3499 44
2362 1384 33
97 284 97
1921 1430 76
2922 1751 11
781 491 25
1260 1616 68
1275 1087 18
2257 1160 81
3880 3593 51
1197 2150 27
2233 275 89
1902 3880 63
1030 539 93
2863 3869 17
1228 478 91
873 1201 86
1160 2149 45
2169 71 49
94 3616 51
3619 3624 46
2873 3082 97
1802 1327 100
3043 2514 91
430 1311 53
1851 3185 41
560 2554 77
251 169 91
3902 2683 45
2800 3884 89
129 6 96
215 2375 63
283 424 76
3738 1514 98
3332 873 19
1670 690 75
1663 3379 75
1363 1263 76
1042 99 77
3170 2064 41
3908 1870 83
731 2472 83
845 1434 45
184 376 28
1909 1796 21
3109 2200 87
1481 3419 29
860 3511 19
3044 2625 35
2437 1562 72
134 314 32
1808 3462 34
1115 615 31
934 2847 88
2047 2573 11
1374 3198 12
144 2995 37
1877 1055 80
3780 2989 56
2102 32 81
685 1425 45
506 1825 38
288 3119 24
1765 2961 67
639 1255 41
1620 2347 67
236 395 80
1574 3847 40
1281 2210 64
2737 2302 50
1500 2836 55
2614 72 64
480 335 35
1306 933 66
3070 3040 74
2918 369 68
646 3920 68
3048 3529 97
3752 3342 47
166 1600 35
2611 2537 10
3617 3397 97
703 115 37
2781 2206 47
296 33 95
3906 1907 32
3355 1594 98
71 2708 26
2861 27 79
372 2558 89
2181 1162 35
2179 2000 10
2342 905 55
70 1527 16
2677 1338 39
2269 3480 95
2881 3707 100
1636 1258 97
1349 3182 63
56 3119 32
3512 964 59
250 2842 35
1060 2403 75
2245 1561 73
2906 3487 88
1213 2645 93
3481 149 78
3448 1029 71
709 1828 87
3778 345 26
3690 1333 23
3839 3132 69
3581 3129 53
3721 144 76
1769 1561 23
3092 3499 44
2435 3493 75
552 2312 48
192 1061 77
1203 2302 15
1813 3099 80
271 1665 71
2873 2410 47
985 2459 15
546 1566 74
648 3093 76
3461 3602 67
652 2511 73
2966 707 50
1448 1653 55
2014 3385 54
1770 1437 30
1452 3153 41
2163 799 26
2981 3425 35
3237 1334 69
1699 3901 100
2750 3702 69
348 1473 35
2175 2277 92
1033 3333 99
1206 2011 79
2547 3186 34
982 3408 19
696 2476 94
1556 1362 32
952 702 55
3896 1559 88
2908 1310 100
3412 2928 93
3254 1636 76
1340 111 46
2938 1821 28
284 2975 47
752 3253 58
402 2417 19
3798 3499 37
206 1896 97
3130 2466 80
2415 1486 55
3876 2515 32
1624 1577 91
248 3320 62
1997 2104 87
2291 2634 80
1988 3705 100
2005 3533 69
2104 773 51
0 933 99
2205 975 31
3815 3656 30
2106 2047 35
2143 494 13
2870 1683 60
2324 106 72
3686 892 33
714 521 25
3147 1340 49
2731 1151 36
913 2551 52
1419 1821 76
2428 1999 40
3247 2473 90
634 3328 75
3209 2292 91
2597 1516 43
1247 1310 86
1488 3752 95
784 2740 92
2810 2139 61
698 407 93
934 170 59
2614 2648 84
2224 3082 71
1391 2787 76
62 3452 40
1984 2481 65
2585 103 62
3051 837 95
3348 627 36
3917 2359 65
2054 2409 33
1397 271 39
3793 2335 58
1876 3021 94
260 2982 64
2118 924 48
3271 2371 84
2053 2097 33
2611 870 86
1740 3167 88
246 3431 53
888 3791 22
587 341 81
793 1675 77
563 3624 46
3352 2692 15
1316 2340 58
2125 1153 96
2904 1371 18
1298 2448 92
1178 1154 95
385 1592 20
3268 2809 23
1767 3290 49
3763 211 70
746 2846 35
1953 10 27
917 2399 43
76 1117 85
3484 2702 79
3912 2977 14
1420 1011 14
11 3710 47
1040 3376 18
3110 1122 41
724 3456 24
948 3612 32
3392 185 67
2797 3764 94
2086 1855 56
115 232 86
77 3325 61
211 1771 21
105 1569 97
3885 1216 14
348 3151 61
2334 1917 59
1466 375 95
1295 3576 87
22 2643 73
474 388 26
1778 36 19
1449 3030 36
518 2847 58
3864 3722 75
2381 356 45
706 1990 25
1849 3639 69
3255 2298 38
1774 319 72
870 2101 83
1745 3620 84
3809 269 10
738 977 80
658 941 61
3876 892 25
2858 369 33
3334 2223 69
3639 1122 34
1259 3791 38
1837 2780 42
2935 3141 64
1672 3837 25
537 197 17
2629 2302 54
2598 3408 74
1418 1062 59
3365 3813 11
2925 613 24
366 499 89
3604 2705 71
2967 3628 44
2911 2705 15
3176 2420 77
2134 2998 83
2760 3761 32
3333 2304 36
2344 1128 28
3205 8 16
1667 8 90
700 3540 100
829 645 75
3297 1502 98
225 2024 100
2321 108 19
3234 2914 23
1594 1224 35
3667 961 59
2207 447 26
1123 349 52
3635 1107 53
791 2360 98
2255 993 58
1736 3081 87
2858 11 81
3575 2917 44
2791 3418 35
1903 671 41
977 1334 66
3121 3900 34
2764 2746 93
1359 90 71
1757 495 87
1076 427 89
1173 894 72
1092 1675 45
145 1446 77
2672 2604 67
1320 517 76
1068 112 52
23 3591 21
1112 623 23
453 2241 34
288 174 12
3226 264 91
1508 1734 16
2681 2840 28
466 895 89
2014 3507 26
377 2264 66
527 3510 42
2381 2061 67
3459 2782 89
1474 2780 53
444 2611 40
3674 1606 39
2724 579 75
3031 2582 42
3345 3058 87
3215 1075 70
860 311 49
173 1412 11
2543 3422 45
129 1199 43
2733 1801 69
3551 23 83
779 1258 14
2785 593 96
2925 3355 41
1654 1778 84
2884 3920 30
1427 114 20
169 1231 17
3134 143 90
3104 1166 81
1391 1333 27
188 1503 32
3654 1649 49
3766 801 47
2969 1410 96
3264 2114 18
2223 2301 79
452 3463 76
1766 2917 44
543 201 25
3493 3407 70
413 1050 74
589 2237 80
2124 2633 65
3042 2061 29
2775 414 29
2383 2958 91
3487 3372 44
2887 3427 21
1506 2580 80
285 2451 87
3812 2410 61
2445 2737 60
608 3555 22
1934 2737 26
922 1876 16
49 3322 97
1296 3019 76
2705 3873 45
2333 2105 32
1372 3402 47
1822 1865 67
230 3797 26
2472 1296 84
1352 2908 75
274 3559 69
2784 1576 99
3470 2408 13
3485 1729 12
171 2896 15
1773 2080 58
1875 2596 46
2664 2137 40
1244 3780 14
1590 1085 81
1239 1703 75
3594 1822 59
1567 1156 74
3212 3632 21
157 2654 39
1355 3341 98
3374 2929 58
2279 2229 38
442 2713 95
2175 1252 51
3022 1490 93
2955 2814 20
3433 2985 97
1303 3457 95
1971 299 91
398 778 73
3632 1836 26
2762 1583 36
3033 752 52
1733 2928 29
3504 2005 43
1658 212 55
2749 1601 32
2632 2335 16
3773 1088 94
2221 270 12
3541 192 96
2261 2280 29
2474 1304 59
784 3228 90
3541 2687 25
2317 283 21
246 1518 57
456 1709 61
2899 2783 55
2838 3544 48
486 3070 96
384 464 88
2919 1001 89
2282 435 65
74 1736 47
637 2745 48
2848 3725 71
584 3619 24
3561 886 62
3692 1621 18
729 1150 36
3790 470 38
1594 563 46
2334 3782 23
2101 916 79
1436 3681 65
3572 3178 78
2018 1113 78
3455 3519 49
3831 1448 14
3102 1824 58
1190 3656 40
2605 1839 61
2399 1237 62
1012 2749 84
3751 1173 60
992 561 70
3336 1076 20
2892 3794 16
2460 2481 54
2338 232 94
1477 792 46
3203 3035 57
3771 2361 54
676 877 69
323 3636 19
2065 847 50
3223 2251 41
1417 2906 23
601 1181 44
2292 259 29
932 3888 65
3176 327 73
3671 10 34
530 193 22
1979 3813 94
1563 1535 79
2723 1922 91
2273 2493 92
2907 938 88
1502 2741 98
62 3916 73
792 2975 32
1420 1651 88
1158 3314 68
1334 2902 49
1366 2824 58
2585 2012 70
1101 567 49
3067 2594 51
1321 1920 31
3083 3275 54
1311 1091 85
2029 2515 20
724 3379 96
1257 3864 69
70 1559 41
2205 3311 48
3887 2650 21
211 193 73
2435 862 38
3350 2574 95
1976 3670 97
3777 1637 67
1619 1356 87
3477 1145 73
569 3258 88
2071 1856 60
1268 2862 79
1297 3157 20
3870 1194 28
2537 1550 70
2428 1985 87
2601 280 53
2568 1586 55
932 2599 82
2152 3502 94
1996 1647 64
3176 2718 93
2928 2622 20
3544 3860 33
2914 2227 33
507 3756 46
1251 2588 89
1728 1634 46
1940 766 29
1818 1646 68
86 3063 28
240 2205 36
3685 2425 20
724 1531 89
2213 3429 19
149 2176 66
1970 3500 14
2381 3532 21
3205 3315 77
3284 78 33
2909 540 41
2541 3134 85
3017 3631 50
3590 1871 56
874 261 84
2092 1779 42
1189 2881 90
446 1062 89
439 3761 92
3522 142 64
1088 2278 66
2426 3623 54
968 290 23
446 2195 70
3165 1048 30
1462 862 57
2227 86 45
70 2658 84
3764 394 81
1546 3860 44
2549 2176 81
2030 2641 84
3412 46 56
3555 3843 52
3596 3489 72
3689 1668 100
2074 1426 30
1086 2712 48
3900 718 50
3789 991 89
1683 37 29
1955 254 19
3391 877 26
1200 1899 100
2646 2159 30
2010 3074 35
349 963 48
3727 496 39
3875 3858 56
991 422 78
3773 3834 60
1530 2131 10
2235 2160 81
2295 2936 83
2556 37 85
3905 37 25
1404 2935 48
1005 2084 33
1065 254 16
1426 3826 65
611 1066 18
1607 1044 40
366 1608 49
3271 2908 10
3673 3711 67
3132 36 55
3002 1287 82
3603 3704 54
2510 2836 14
1811 2195 46
3245 1331 88
3223 3651 65
1419 3029 48
2373 1154 49
452 602 13
1273 239 22
1052 18 30
3106 3417 48
1852 1825 48
252 2449 15
3547 2860 61
1510 2668 91
2035 1896 25
1613 1788 29
2648 3544 81
520 1215 42
3544 3424 48
2614 2458 82
1206 3011 44
2295 366 78
1683 1474 81
3498 2465 66
2319 833 14
1002 1248 22
1918 311 57
2552 2194 67
3637 1537 45
2348 2066 19
614 3418 76
334 1906 12
320 2422 47
1926 2298 20
1016 1623 78
3238 1353 86
841 3844 24
1583 2552 41
2037 1179 84
3667 2587 70
3754 2967 58
352 918 21
3497 3411 88
3414 3312 89
3809 3473 19
3410 1839 40
