541 4354
124 313 65
400 257 73
407 187 55
362 311 40
453 163 68
481 501 33
536 286 16
447 109 17
323 529 63
262 453 64
67 78 29
20 79 32
279 39 97
454 160 66
460 141 40
425 119 87
65 83 67
102 264 40
316 35 18
523 190 18
197 232 41
148 522 76
147 308 58
394 518 89
471 260 63
285 79 17
131 199 12
180 32 31
519 91 52
93 404 21
286 249 42
438 282 42
190 55 25
208 103 35
346 46 42
1 11 25
379 386 76
187 50 49
352 48 14
124 94 14
14 476 52
278 422 44
241 110 75
371 129 56
18 106 22
96 158 65
160 103 68
512 262 34
429 438 84
31 278 71
86 338 31
485 139 38
170 138 25
40 144 91
475 270 77
0 473 49
407 485 79
537 104 70
384 337 22
47 224 40
410 523 19
353 290 90
314 207 99
291 84 89
297 141 26
74 235 57
137 242 92
160 189 25
70 316 19
8 502 60
396 53 20
33 368 15
262 16 36
133 235 99
331 7 65
444 132 38
31 533 60
131 483 24
222 297 92
291 490 38
256 283 25
16 251 96
168 334 86
127 374 58
393 437 21
22 116 77
73 349 96
128 151 41
145 72 69
51 391 32
381 300 81
396 131 14
538 470 85
376 532 67
371 33 99
1 151 78
317 25 98
384 33 22
411 195 36
32 3 93
315 364 55
323 77 71
378 223 73
301 415 46
337 503 33
287 397 32
419 463 16
134 254 58
262 477 20
483 307 40
433 223 63
178 196 28
21 17 14
151 432 49
124 227 22
484 455 19
224 384 69
330 80 94
127 350 61
24 91 73
237 164 25
459 187 76
468 70 64
117 522 47
253 507 32
139 196 98
151 179 87
281 123 61
349 132 72
308 487 32
23 254 58
168 520 89
138 185 61
444 96 21
141 149 51
404 45 68
275 519 79
336 417 52
206 435 15
6 382 85
410 153 17
403 518 13
287 285 47
224 440 76
444 88 16
192 16 63
297 201 21
358 35 67
506 306 98
345 304 17
245 308 58
317 152 65
251 77 14
65 35 73
8 447 88
334 79 92
233 410 25
349 201 42
309 430 53
475 249 91
38 348 61
487 374 63
231 443 15
516 443 73
65 18 59
140 134 58
377 52 77
359 170 47
381 146 25
113 382 84
173 136 42
61 435 88
295 160 49
491 508 94
179 505 56
498 414 39
289 88 37
278 72 21
25 118 31
371 508 15
375 428 76
229 25 69
392 47 64
124 121 45
63 524 15
330 145 45
301 537 90
491 295 45
82 10 68
325 42 43
162 155 14
311 393 22
265 254 92
519 247 69
391 228 23
359 244 30
401 267 28
157 353 61
15 355 18
321 16 74
49 333 41
341 142 63
522 409 63
460 437 60
302 38 22
399 188 22
324 446 67
404 265 62
78 525 48
413 161 44
510 192 12
66 102 85
537 266 17
344 66 19
260 295 97
166 278 100
245 526 56
433 297 18
255 533 48
497 391 60
343 139 26
318 418 85
237 340 75
105 440 73
60 52 22
298 468 11
476 400 100
447 20 35
515 133 11
169 15 38
447 256 13
453 76 59
462 480 30
410 277 99
405 513 100
243 404 93
126 374 10
15 21 92
525 96 94
346 274 34
108 311 72
138 108 43
531 453 74
449 518 64
91 441 57
424 511 15
405 8 76
257 32 86
37 415 31
104 478 56
223 17 13
244 308 67
493 219 39
215 25 33
425 384 93
160 186 74
312 206 58
296 182 34
436 405 27
377 511 53
267 15 73
504 185 77
329 44 63
162 398 14
328 146 29
446 137 61
104 352 100
23 52 56
186 116 58
92 209 48
207 25 50
421 459 67
515 426 96
123 531 19
534 158 31
281 366 15
130 278 15
146 152 20
390 178 46
365 248 43
17 239 84
433 211 32
302 24 78
195 10 99
39 494 55
146 466 20
48 251 50
291 153 64
12 81 50
297 509 35
203 96 89
93 161 11
306 44 74
255 189 92
114 10 14
268 312 53
514 272 59
428 234 97
518 84 78
192 168 73
404 66 33
310 284 39
89 531 70
437 281 18
357 59 21
301 172 82
133 17 93
108 390 68
534 291 89
340 466 82
84 511 72
321 483 40
274 531 92
88 280 76
428 271 55
425 17 14
233 365 71
208 103 69
423 157 21
261 241 16
344 320 72
104 300 30
312 524 70
400 348 74
84 218 89
232 73 39
69 532 59
514 491 27
370 221 95
291 436 45
467 310 88
344 430 47
52 87 67
533 323 46
250 285 38
29 362 86
9 67 26
203 462 59
141 345 41
4 112 96
445 207 48
452 225 22
466 330 59
265 146 80
290 254 71
307 539 20
85 242 36
32 140 29
330 474 71
89 362 16
235 52 36
100 309 44
309 388 71
246 150 50
428 69 40
50 98 69
417 89 100
204 370 43
26 56 52
368 451 89
413 507 40
214 368 100
226 356 69
215 298 79
109 34 51
128 129 63
496 520 40
368 528 25
361 260 29
10 120 83
6 241 82
81 206 29
436 199 27
324 267 50
1 515 68
113 408 78
384 240 62
88 106 24
146 323 53
130 54 94
145 497 79
233 13 59
244 427 79
102 58 17
527 506 81
373 152 38
204 395 68
173 392 17
504 534 30
173 179 73
297 107 15
289 396 79
98 318 35
321 325 29
429 121 44
67 89 41
346 181 82
420 140 95
201 54 81
135 26 84
141 275 32
395 283 98
10 216 62
508 26 69
346 411 57
439 360 23
475 487 19
465 303 90
468 403 69
479 403 20
0 11 82
302 378 87
121 304 74
529 232 64
123 522 84
50 408 81
148 196 75
37 125 70
371 370 41
92 446 25
50 215 88
104 189 25
373 279 35
354 125 27
394 408 84
515 232 72
290 52 64
423 297 97
326 502 89
82 526 22
125 133 39
217 13 87
523 388 93
481 439 90
327 174 49
0 217 63
4 122 36
537 485 53
521 378 24
49 288 73
495 438 98
164 202 26
426 508 73
26 370 81
237 305 97
6 444 77
374 527 73
500 225 82
517 92 95
520 74 42
434 25 23
371 431 20
223 235 16
444 11 28
304 105 64
446 385 71
308 18 29
106 352 85
64 480 53
102 186 33
124 431 58
358 8 98
465 117 43
234 156 23
354 391 10
327 497 85
129 344 76
15 527 47
268 295 17
210 126 62
475 305 49
280 318 61
368 198 96
133 496 90
139 233 31
389 65 32
271 504 41
323 121 13
270 254 58
537 13 35
448 253 10
4 419 49
271 75 96
483 397 35
507 286 84
443 505 45
458 475 76
248 369 82
152 466 11
328 209 59
331 164 37
322 369 81
352 223 77
522 115 89
388 49 71
70 539 64
17 203 46
453 48 57
111 329 11
312 9 100
92 22 23
524 447 68
183 511 30
518 343 32
250 529 15
189 337 28
194 491 72
223 48 85
354 29 42
255 205 89
432 125 75
503 245 46
304 9 19
235 456 24
77 310 45
162 447 56
200 513 12
347 361 90
16 94 92
66 475 28
66 11 53
107 66 97
58 467 22
65 365 81
442 529 58
459 242 97
243 31 60
412 283 13
171 431 65
91 35 40
403 26 18
109 527 28
174 94 79
199 157 58
182 113 53
384 411 16
438 36 80
279 399 32
324 13 15
259 392 64
505 310 24
412 87 62
94 365 58
401 60 35
495 97 64
200 206 61
360 529 46
446 186 62
392 216 39
157 112 33
326 24 40
135 398 66
34 523 66
287 514 83
196 407 22
489 539 95
85 2 30
362 410 66
316 415 84
244 375 96
0 285 18
332 416 44
275 283 22
407 535 12
191 27 89
77 313 22
56 452 26
460 271 33
504 6 41
411 486 78
483 33 47
359 127 54
404 438 66
415 309 98
502 453 28
119 129 85
22 163 23
427 127 55
177 41 80
230 188 98
247 274 31
249 349 26
455 353 81
469 45 35
80 232 67
460 392 22
327 319 26
385 208 55
485 40 98
405 129 87
238 108 10
323 462 72
134 480 100
424 127 43
165 238 59
5 501 66
366 378 77
350 12 57
0 352 16
522 526 91
113 385 63
206 45 61
285 124 66
376 217 22
36 80 97
416 359 97
523 250 12
202 414 45
148 234 92
91 207 17
86 389 22
475 250 28
335 300 64
404 2 12
367 408 76
492 330 16
493 231 97
519 503 13
178 292 91
189 500 65
335 421 73
393 215 44
47 337 11
467 453 15
31 503 68
256 139 34
355 171 80
32 436 37
387 31 24
403 202 45
146 299 49
52 482 52
399 338 19
336 265 91
454 347 72
535 248 56
521 143 43
417 396 36
280 229 48
65 310 44
60 199 43
526 317 48
71 155 62
464 517 91
135 205 19
101 465 70
280 492 47
354 463 75
339 472 60
443 36 83
478 336 15
399 358 71
56 71 59
212 48 12
13 199 69
464 77 50
206 180 23
11 89 57
335 189 40
121 299 75
122 396 88
190 425 44
196 366 34
236 188 15
215 367 95
81 194 56
210 289 53
464 27 42
131 115 36
316 167 23
509 47 72
326 287 26
514 186 86
19 503 26
88 82 75
243 324 98
496 297 97
256 420 34
99 206 43
20 369 99
335 146 38
45 348 38
25 472 29
323 211 71
470 414 65
409 486 80
356 7 95
230 173 89
328 86 47
96 172 96
355 309 29
404 363 24
397 307 25
145 510 18
533 249 51
447 254 93
118 240 47
290 69 49
356 17 69
504 366 16
75 363 23
29 461 34
154 107 83
140 232 53
80 460 29
431 201 56
23 0 90
91 294 70
98 322 37
265 240 100
157 226 89
375 350 60
540 439 65
361 215 90
467 56 65
318 262 54
12 162 57
58 178 28
346 140 61
201 206 66
45 95 65
462 26 91
244 525 55
109 290 19
153 313 60
206 110 38
340 405 88
439 402 40
482 161 53
349 133 54
82 31 49
97 109 97
218 9 67
166 349 60
21 536 86
64 260 59
499 534 19
224 262 28
416 449 15
499 245 70
495 384 82
177 234 26
21 25 18
319 256 79
360 150 42
291 432 35
59 171 80
200 428 53
274 372 12
220 503 11
339 122 68
374 324 23
227 232 23
97 540 34
416 178 70
251 423 77
158 383 70
196 423 49
127 378 31
316 449 94
205 345 58
386 480 36
175 331 43
251 29 79
509 536 28
410 351 64
331 138 30
81 450 74
34 510 94
230 227 14
233 316 27
44 249 91
459 5 95
332 233 56
199 295 82
357 72 100
506 281 11
184 439 16
104 219 15
53 32 63
456 407 90
92 1 30
499 240 13
486 348 33
126 418 59
122 116 66
361 66 40
122 21 49
237 18 40
1 523 75
288 496 33
384 449 24
256 261 70
468 28 14
367 310 70
250 378 57
37 202 41
68 4 87
63 268 64
510 397 71
383 287 100
113 70 31
531 417 68
470 536 63
463 366 90
341 126 49
423 169 38
453 376 72
396 86 14
519 15 71
319 227 91
250 31 27
105 367 51
373 480 62
486 32 33
334 213 51
461 474 28
306 402 55
412 19 83
467 191 18
345 167 63
137 306 40
275 264 24
221 451 89
505 398 78
271 82 56
504 256 22
459 491 78
428 298 13
443 49 21
50 142 76
180 280 61
13 283 98
49 404 53
258 342 63
471 269 11
104 343 18
350 102 42
256 126 91
332 5 68
216 29 91
433 242 66
65 15 95
185 432 47
487 111 17
181 436 76
123 507 70
334 489 99
100 466 91
259 363 28
342 122 90
233 302 28
464 190 77
230 535 96
516 526 55
26 79 94
