5472 5865
2233 1898 97
3194 1120 18
3834 5373 84
1015 3938 89
5303 3149 27
4793 1467 34
3825 1271 77
5119 4393 55
3695 1407 43
3447 3041 45
839 4449 17
4749 806 89
3124 325 74
163 3271 99
4749 2234 31
3801 1784 21
1744 2233 42
3411 3789 39
1791 319 45
167 1741 34
4864 3686 54
4364 4501 59
4466 5431 46
3772 2926 60
513 3782 78
4948 246 49
2136 2148 20
4065 3074 74
3761 3516 20
1887 4278 100
3139 3599 31
2431 369 66
2011 762 56
2810 5373 35
398 311 92
4638 4625 80
4401 1272 38
3327 174 40
5185 1149 97
1219 1318 74
5190 534 11
1502 2744 15
4123 1207 29
2509 3467 46
3835 3192 30
141 3347 90
3987 1111 48
2003 1110 95
5374 4804 65
2292 2158 89
64 5344 69
3300 2432 77
3482 1249 39
1119 4460 40
4863 3405 44
1091 2858 79
2897 3543 25
4521 3574 41
4987 709 90
2182 1987 75
5134 1703 78
585 3283 44
47 614 54
4563 5359 74
5087 5006 72
4836 701 18
1327 5461 93
799 4683 66
3335 2274 64
4375 2677 76
4814 648 42
811 3508 36
2777 336 48
1127 1085 41
4033 3481 83
3652 3789 63
2377 1593 71
399 3886 81
4713 3056 79
3679 2119 53
2468 4112 35
4494 4903 88
629 2035 16
2647 1380 95
1607 922 27
786 4238 20
1230 2132 23
1612 4700 88
1620 1065 51
2605 1819 40
1654 511 98
1888 3337 87
2952 2782 10
1242 2167 30
208 2983 86
3959 5095 79
3474 1698 15
2996 4363 19
5228 3988 72
3732 1627 50
902 3144 96
3772 2012 72
3874 5203 58
2580 3677 60
2871 905 53
5389 3325 10
4931 3746 46
592 921 87
5162 2213 15
2118 324 63
3673 4159 29
4923 2200 68
2702 1306 82
2427 2694 37
203 5300 45
1469 5284 93
4370 843 87
897 646 38
4907 3721 53
1523 4337 40
4055 440 22
3484 5040 56
3411 5327 74
2956 991 98
5195 2781 57
4398 1516 97
3603 2988 96
1258 4132 60
1247 1585 14
3014 789 80
2510 4239 44
58 2767 47
1336 4677 57
2315 5297 24
1642 4826 35
3001 751 25
41 4381 17
5036 3970 89
1583 2063 13
4908 1083 15
746 5303 12
718 5411 88
3056 2849 14
5091 2964 74
2025 3614 55
2457 2262 86
2349 3745 78
1170 2317 72
2214 5235 100
4391 5249 79
1346 4041 44
5204 211 27
1797 2848 92
2066 2721 33
5153 5424 100
5158 4048 79
227 5249 37
3105 1630 40
129 466 46
4229 1202 39
3219 57 59
5335 3942 86
2051 2500 79
3245 3089 50
1194 1877 54
3168 765 84
4050 2521 92
3158 502 10
1406 4840 10
3296 1626 72
5425 2588 84
1939 3679 57
1301 2091 54
4066 4372 45
1305 3187 26
2865 2983 78
193 1688 69
