4404 9629
3416 1396 83
2897 4289 35
1409 2687 31
3691 2060 20
2577 1928 96
2881 1814 55
4291 2516 74
2887 1830 22
19 1378 51
1185 628 96
4158 1683 94
4259 2181 100
3165 1 27
4047 1139 25
2552 2862 34
4200 3462 66
2624 4269 90
2205 11 41
3876 1357 46
29 3378 82
3458 3111 12
3301 2946 34
1578 3345 65
323 1569 36
1771 13 85
61 4321 96
383 3039 56
4136 4175 29
1524 2732 46
4080 3080 48
268 3473 60
4082 3219 78
3344 2199 65
936 3151 63
2087 2230 94
4037 4285 79
3474 1200 58
3313 866 51
729 1461 95
2397 1443 74
2158 2458 69
1319 2432 20
938 1225 58
2104 479 85
1901 2106 25
2916 2571 65
3890 2643 20
671 4380 20
3176 1196 96
3957 3244 34
3761 901 54
2509 16 77
2332 2829 65
2038 911 77
3431 20 89
2924 4323 29
1412 4231 99
3982 2531 32
3831 1352 26
1152 202 94
956 1553 99
2660 4076 39
3686 270 19
3998 2029 54
3215 2549 37
2336 3637 22
3947 1002 13
161 4147 35
2736 4093 57
3874 2594 70
1813 1018 32
560 1349 81
241 2409 32
1813 4002 34
16 2075 44
85 782 30
1276 1839 47
1418 3331 83
1706 2870 90
1191 2162 88
1688 4248 23
452 2479 99
3935 161 30
2151 3881 22
3165 3452 69
2167 2977 47
677 4265 24
3285 2044 45
684 1346 65
3804 3026 64
1482 1811 87
3689 35 99
2946 3961 79
4080 1218 12
2990 2258 45
4025 3394 55
471 735 15
4265 1276 24
3665 1756 88
2074 2322 14
3871 3595 86
1275 3213 86
3643 1710 50
1806 299 24
2561 1023 80
2324 1828 54
1880 1354 95
1221 3409 38
1824 516 94
1614 709 76
1107 3812 77
5 1384 52
2016 1574 89
814 3204 56
2573 4360 63
4025 1797 72
337 425 56
769 3954 51
2930 1635 34
2710 3095 88
3596 102 84
2689 3702 68
1497 1097 33
2464 1714 87
3383 2131 30
3751 2288 34
546 4395 51
4004 1776 21
3510 3433 98
1867 4223 21
102 1555 31
3475 830 17
