553 2105
284 144 66
200 356 15
102 530 29
435 111 25
91 445 71
96 453 24
342 446 52
524 331 100
543 306 66
366 75 17
317 318 37
125 99 73
502 551 12
340 163 71
65 134 70
529 116 50
469 355 83
542 14 55
284 369 63
2 506 25
19 450 32
36 154 71
235 319 71
444 507 58
330 298 69
383 192 39
450 482 18
227 180 40
375 390 86
91 493 88
535 544 10
375 372 44
382 347 21
483 397 84
403 438 32
385 121 88
100 496 23
270 448 24
291 82 55
177 13 77
87 430 24
74 341 23
357 231 37
524 476 44
240 181 22
284 502 47
343 312 91
23 363 49
436 23 79
274 336 70
314 349 95
300 548 30
352 541 60
166 343 38
453 142 46
490 426 15
88 37 31
300 426 53
333 531 32
289 86 77
344 103 28
143 235 51
394 504 66
150 253 69
486 242 87
186 157 41
439 229 51
49 220 45
263 251 64
109 504 92
5 539 23
146 448 38
95 142 25
298 393 26
477 307 43
535 367 16
519 246 50
363 432 47
101 352 98
247 193 100
60 74 78
342 283 59
461 293 81
275 175 100
241 37 90
327 34 16
79 532 80
14 127 62
43 211 81
198 128 48
12 25 38
136 223 52
72 521 84
9 483 89
472 150 81
296 542 50
464 521 36
45 85 17
349 99 66
100 79 30
78 194 97
412 354 71
66 339 50
203 252 62
356 185 74
25 152 68
321 500 49
489 333 22
268 510 30
258 274 43
531 545 45
32 160 28
449 170 67
152 464 59
507 517 74
132 481 82
301 163 91
130 521 43
521 368 91
419 471 42
265 501 68
264 67 32
356 262 27
177 536 29
219 392 59
452 218 42
349 245 23
226 9 55
210 321 53
223 109 45
67 99 32
102 529 98
23 457 53
485 347 98
272 551 29
104 266 22
400 197 52
279 50 41
345 177 25
119 124 27
492 321 89
208 405 78
156 532 64
125 511 89
101 518 96
131 493 12
64 421 46
288 463 23
9 549 96
436 153 50
358 540 50
200 188 87
468 133 83
91 550 25
419 270 76
323 415 79
175 203 36
457 281 13
491 197 36
183 31 25
122 372 49
468 187 98
238 441 22
526 293 66
271 132 44
456 197 56
86 139 94
131 105 27
47 295 32
128 460 100
362 36 16
176 524 91
148 502 46
25 161 23
174 54 85
210 298 11
42 209 76
538 480 93
424 283 11
314 184 93
225 417 52
354 122 11
10 14 87
29 345 39
271 479 92
63 493 35
437 466 24
222 278 18
220 2 18
266 18 28
110 334 58
550 92 10
409 525 52
226 385 14
373 20 92
258 525 12
168 425 44
400 74 17
65 388 30
366 55 32
172 336 20
28 472 36
506 367 12
237 320 48
3 233 51
548 427 53
404 200 14
109 34 68
219 112 14
223 240 56
335 437 81
323 32 72
511 284 59
33 203 64
280 290 33
441 150 96
127 7 88
212 14 54
270 409 96
152 309 62
329 428 11
290 4 22
490 464 20
440 532 69
48 351 82
375 393 38
145 432 69
328 264 23
153 270 68
434 337 75
89 479 28
334 412 64
183 203 13
500 125 16
72 532 20
216 14 10
87 276 50
416 520 25
376 522 14
552 22 99
518 190 50
326 83 12
492 80 36
212 160 20
287 159 64
378 26 76
406 490 45
235 122 99
22 232 73
532 56 60
150 350 20
234 424 99
76 158 43
533 256 68
531 375 96
182 201 55
56 498 71
327 32 56
289 419 14
420 340 40
415 212 93
384 539 49
251 132 53
434 67 71
445 143 89
258 47 29
233 125 64
471 526 46
125 168 14
63 425 95
351 111 73
463 456 51
406 78 82
328 92 95
433 460 45
388 246 44
279 275 76
298 442 49
81 266 66
90 93 52
430 397 14
4 226 18
144 283 29
264 158 22
499 245 93
453 335 11
457 50 95
378 36 49
446 184 85
176 154 30
24 238 96
372 427 11
99 168 67
11 217 71
530 218 90
245 101 65
493 64 96
53 164 58
266 192 67
76 509 11
506 362 35
136 531 27
489 375 41
350 365 37
309 123 95
310 127 22
426 244 78
310 249 59
462 146 75
490 367 65
174 27 78
477 102 29
172 64 62
149 248 64
456 221 73
233 60 47
481 364 22
73 276 87
60 481 85
406 179 12
414 75 75
414 472 87
354 403 31
56 433 59
56 242 90
382 549 43
70 290 48
50 182 68
372 115 39
273 286 44
83 508 22
277 454 69
306 42 85
240 336 49
351 381 99
125 436 59
179 112 12
377 529 60
337 445 70
371 394 45
332 119 36
250 459 75
72 460 85
390 452 72
220 78 82
510 489 16
244 351 32
500 532 82
83 151 20
345 277 75
194 120 67
0 20 71
19 296 43
61 371 58
54 188 88
53 265 16
514 184 10
427 76 62
81 253 52
259 432 13
123 289 79
118 403 51
453 166 25
496 131 66
99 296 88
5 67 67
158 221 21
81 98 84
326 423 81
479 159 14
299 537 66
123 31 71
366 129 47
422 209 33
364 9 19
389 313 12
518 48 24
36 238 51
382 125 58
364 270 67
283 388 53
7 395 48
545 304 12
177 468 58
325 187 69
415 164 30
517 267 56
216 156 45
225 219 72
52 279 75
543 467 54
507 453 17
443 405 20
297 131 95
229 538 71
474 428 28
375 86 86
289 494 25
286 98 66
344 414 100
206 343 91
528 295 25
88 163 65
303 185 89
444 68 71
89 369 50
22 538 56
142 372 26
296 73 20
174 230 95
497 179 40
205 270 89
37 78 56
42 311 32
134 225 95
110 236 85
293 404 84
427 262 87
138 133 55
499 307 17
158 73 70
78 345 28
545 418 58
351 334 13
546 414 61
249 26 41
497 430 37
545 172 86
269 443 93
82 237 70
186 431 11
479 546 97
9 28 68
218 211 93
263 240 33
362 489 52
218 87 62
163 552 62
191 228 80
14 105 35
42 382 58
343 248 92
546 454 56
436 84 65
262 294 91
480 386 30
246 401 29
312 56 87
309 31 79
83 6 16
137 441 24
403 425 65
540 225 16
164 190 36
371 134 45
147 459 82
450 179 78
88 115 32
432 191 24
254 522 55
128 530 43
275 340 16
517 53 87
124 244 59
154 195 13
105 18 40
8 242 80
452 253 44
441 124 31
293 11 58
431 522 85
135 417 40
160 131 13
134 156 93
309 89 68
420 199 93
437 379 10
325 130 13
360 369 56
220 188 29
528 248 33
29 389 55
430 70 67
250 397 96
514 506 33
100 248 92
212 35 85
85 0 91
306 408 66
206 124 51
19 394 40
240 343 29
321 373 88
92 312 31
171 401 18
52 479 33
387 196 86
240 32 92
119 352 50
484 336 68
321 363 74
398 356 17
290 303 81
22 518 43
342 349 93
20 480 90
244 408 79
487 244 25
136 187 42
268 398 12
145 23 18
430 492 98
173 349 25
268 401 74
537 43 99
132 541 69
204 412 95
231 282 32
399 294 70
138 275 73
120 484 63
51 524 45
222 354 23
542 437 85
326 110 84
454 214 45
225 219 76
111 63 88
194 285 21
364 449 45
264 75 66
372 243 80
350 421 81
45 151 92
191 192 44
117 224 44
504 420 26
307 115 29
6 476 60
305 524 41
524 53 100
136 284 24
330 479 67
47 322 85
25 312 49
244 205 62
348 57 52
452 542 82
370 176 59
271 155 33
25 292 28
260 12 65
388 19 18
403 131 62
239 218 12
385 140 96
475 98 77
158 398 23
388 20 17
254 342 97
494 513 97
336 474 15
46 227 94
158 13 42
360 404 97
415 302 77
78 216 29
507 537 34
539 526 37
386 10 53
333 38 66
208 470 92
301 104 94
170 175 88
12 21 76
75 375 40
150 255 30
245 156 93
95 339 43
438 415 87
544 541 43
74 342 62
150 260 41
278 325 13
184 476 30
235 435 53
222 303 87
373 267 59
501 528 29
540 464 71
65 55 68
44 361 41
226 378 46
464 518 42
433 10 89
397 93 84
114 423 39
126 219 19
411 356 20
388 177 48
541 449 66
2 531 24
500 283 50
258 146 85
381 74 40
177 225 77
527 72 68
263 105 47
79 312 92
504 52 19
447 140 40
11 33 38
503 186 86
352 44 87
445 339 48
223 373 61
150 109 47
390 406 61
88 463 59
75 438 97
135 518 83
420 373 76
165 174 75
309 102 87
515 75 88
495 428 23
532 31 84
264 143 74
413 85 24
455 233 82
426 159 26
128 144 96
179 347 26
113 0 52
233 121 47
84 107 85
308 331 99
156 401 68
499 496 67
103 346 96
200 380 85
340 208 97
530 225 84
0 182 82
394 21 75
138 170 91
492 384 42
377 1 88
335 316 59
80 451 14
366 463 63
280 243 39
149 239 59
396 456 69
261 329 22
513 47 74
33 473 18
418 178 88
308 280 38
8 28 90
227 217 93
151 322 32
285 122 10
279 299 31
408 281 97
332 18 81
514 433 96
16 1 71
503 201 94
61 142 12
499 122 72
149 403 98
460 386 77
371 59 75
296 459 43
311 366 19
546 6 88
447 336 90
501 374 61
500 52 51
401 490 94
430 135 52
344 328 17
156 173 76
85 487 42
364 102 48
180 154 74
483 26 47
487 34 83
363 284 60
199 167 84
22 135 73
48 77 95
308 277 93
393 154 30
243 94 33
364 493 34
441 355 18
2 368 72
82 455 68
523 275 15
472 549 81
107 83 12
515 136 26
120 437 37
110 236 91
295 385 39
364 233 30
150 313 61
153 179 64
30 90 90
508 44 86
150 300 30
99 324 19
423 386 63
457 133 30
30 423 12
480 89 67
402 78 36
6 422 56
525 517 57
406 543 35
94 245 79
119 435 75
34 71 25
276 380 46
392 133 80
344 354 62
18 481 88
318 58 64
133 282 22
301 86 50
306 352 95
438 82 70
33 440 47
476 38 53
343 438 29
461 517 53
222 218 54
401 134 81
328 114 65
438 273 88
1 456 40
408 288 81
354 1 92
63 103 10
50 315 26
33 405 89
238 48 12
74 453 81
209 508 56
362 54 54
384 510 47
104 222 28
20 326 38
65 429 90
406 331 69
477 478 32
192 153 20
536 234 55
108 213 80
456 139 26
77 537 30
263 462 85
290 251 65
188 43 35
298 435 85
158 498 47
532 470 15
390 306 17
122 455 84
440 93 76
275 123 72
414 274 34
345 474 18
156 405 65
286 132 37
156 54 62
401 397 21
537 462 65
256 76 36
28 47 65
60 167 33
229 67 83
437 17 79
333 465 83
83 542 22
204 443 28
48 487 38
121 405 82
17 196 42
134 98 83
53 205 48
549 36 94
50 197 18
297 272 86
207 256 97
520 209 60
433 459 59
189 127 27
505 420 63
28 387 84
463 281 43
358 235 10
534 401 35
381 279 41
373 59 76
472 351 56
298 551 39
354 102 96
4 367 26
30 509 34
405 316 57
330 281 29
418 491 23
534 227 35
113 301 39
216 29 54
284 195 13
301 515 28
79 459 34
401 84 22
509 17 70
354 201 98
408 0 71
348 547 85
158 438 30
27 494 29
46 167 22
397 507 45
168 275 14
278 373 17
263 336 70
7 296 72
332 21 66
302 384 29
316 453 16
362 43 63
468 467 80
330 393 96
123 42 60
94 329 83
265 219 48
223 313 76
410 454 93
298 291 83
228 14 46
278 58 88
318 350 87
495 441 89
426 449 42
478 255 22
236 237 71
551 21 53
113 142 18
120 479 85
274 329 25
13 5 16
308 4 20
74 353 82
307 533 34
398 291 100
239 241 82
226 549 54
311 172 59
274 280 71
154 329 11
230 138 49
137 26 57
386 105 39
466 391 14
423 435 59
317 260 95
437 506 74
513 140 25
244 14 34
165 124 20
66 58 15
243 475 43
32 39 37
266 348 56
300 436 52
75 243 94
39 368 54
64 284 97
446 518 93
469 490 31
433 16 76
0 227 64
18 268 23
132 504 49
329 27 71
66 389 91
88 472 16
165 507 48
502 166 19
484 375 58
178 25 97
376 145 100
138 62 69
240 15 30
300 182 56
234 470 92
57 282 10
130 206 62
482 43 11
22 260 31
479 172 87
132 210 47
407 205 71
494 165 27
133 355 51
317 436 10
179 237 94
289 495 38
156 59 94
28 543 26
413 503 15
90 116 23
167 237 60
496 148 17
301 448 96
199 410 73
225 401 48
28 58 97
323 548 72
18 501 82
478 200 59
371 416 54
88 426 81
468 414 62
189 307 27
315 499 41
45 356 47
5 57 70
34 142 80
126 309 64
474 431 62
155 85 36
503 515 60
323 385 87
25 481 12
444 190 48
232 302 26
373 547 98
68 175 53
24 212 82
178 27 61
254 374 57
384 408 43
478 231 53
219 196 86
317 544 40
519 181 86
134 109 16
286 43 48
245 38 98
445 475 93
252 465 25
99 359 95
289 488 20
247 490 58
59 390 84
285 397 12
37 232 38
220 18 30
414 9 64
401 94 36
303 114 22
446 169 48
356 1 67
17 477 51
377 109 48
263 493 15
297 155 89
484 493 69
377 308 18
249 326 11
363 387 78
55 77 21
83 179 78
434 270 78
347 227 96
249 146 30
328 500 100
200 73 23
291 470 16
18 248 30
283 28 57
154 401 17
196 326 79
161 345 53
30 210 41
228 36 13
56 268 42
420 441 20
133 94 84
135 475 10
510 307 28
318 532 46
527 52 97
465 459 87
365 139 48
336 150 42
408 441 57
501 5 89
532 116 34
227 307 26
21 454 23
140 236 100
137 278 78
215 403 28
70 265 17
451 61 22
286 460 18
86 503 24
96 22 88
69 137 57
154 217 78
