1998 2590
484 1778 15
727 1635 33
656 452 92
1640 942 80
1130 1399 99
1671 1064 78
833 1288 47
1217 175 28
1479 816 69
495 492 82
1177 1562 59
1750 778 78
1384 596 23
1596 1943 63
1921 1345 50
1153 1324 57
352 1760 99
1050 734 46
810 1112 14
1519 390 93
449 1216 55
327 1573 35
516 183 73
1906 1852 24
645 208 61
19 1700 98
810 251 75
1713 1671 79
684 1007 79
1579 671 34
3 1326 18
819 310 63
1898 1901 15
1200 382 72
1782 397 13
86 1262 81
1356 1934 70
1297 1654 67
458 1624 58
1356 768 51
1181 1689 88
426 737 46
1840 1779 66
859 710 37
711 1491 58
1086 128 61
656 1748 28
802 404 49
1502 13 38
861 1634 96
294 304 72
1856 1457 54
1086 475 42
754 1350 95
1492 909 45
614 1591 74
1304 969 50
968 105 69
77 1413 57
581 868 87
329 443 94
750 898 28
1694 1676 37
1214 996 12
673 111 60
125 108 69
1557 1279 11
315 1875 49
1921 1200 22
24 295 65
1519 1803 32
28 1788 91
1498 683 46
788 1807 83
989 841 95
794 1436 66
1702 1225 20
1038 33 68
634 1648 75
1541 1018 39
1607 1753 20
1153 1049 34
1894 919 94
556 1782 72
1791 1319 87
1564 1579 24
543 729 11
1680 1985 33
1714 1165 49
1793 920 85
1755 1135 37
1325 1671 91
996 693 61
1054 1132 59
1415 1974 38
1891 566 23
1631 504 62
465 419 72
114 111 77
374 1529 12
589 903 79
954 290 16
1986 554 58
421 539 49
1636 1495 96
1113 1692 68
606 137 82
867 1105 77
133 459 34
1512 240 35
233 558 63
1748 703 53
1606 758 40
836 173 22
830 1189 88
738 279 90
1893 82 13
741 1145 89
1698 1177 46
660 347 32
1766 731 87
434 524 30
1369 1058 90
1250 1112 42
1802 605 96
1411 1137 49
572 219 70
646 1976 36
1779 1273 100
1618 655 27
814 510 81
169 851 19
555 265 13
1385 578 23
654 1846 43
354 1300 53
694 1847 48
619 825 96
1172 58 62
1295 585 50
893 1508 30
348 612 78
777 224 47
770 218 62
1906 1703 86
70 1358 87
850 1064 69
130 931 68
1498 78 65
1079 1579 76
1331 1987 70
170 1536 72
1977 1597 100
50 1941 85
1718 149 26
343 1010 62
490 1037 93
463 1437 42
982 452 29
318 873 34
806 1384 74
1430 1012 45
204 599 91
1560 1770 95
1683 311 20
256 1456 40
1790 1211 58
1110 221 68
78 609 51
1624 1146 58
1398 48 56
1154 1399 38
640 205 62
2 828 70
1205 919 57
1297 468 71
743 301 36
553 195 78
1493 1951 80
852 682 18
462 1631 71
1574 991 98
1329 36 65
814 1684 77
117 465 48
1362 1679 79
1997 1707 14
1003 1818 48
1735 297 98
1883 444 95
1745 137 67
909 582 90
515 1031 31
202 375 89
863 1722 62
1780 1436 90
832 1479 25
1206 1195 10
60 1579 61
819 1585 58
944 190 32
1288 1867 17
1593 1207 19
1432 32 23
894 507 73
1354 814 45
1945 1005 95
1798 716 39
1742 1789 99
866 922 96
873 635 36
777 1870 24
66 401 87
1755 1097 26
949 1759 83
1254 1902 12
573 384 15
112 1942 17
1724 1976 31
647 1693 32
1924 1699 96
520 1872 45
287 1750 92
958 1478 37
1307 1281 51
876 1642 40
1649 266 53
87 1140 42
1036 798 44
689 1407 70
250 1130 41
1637 922 59
1301 1033 85
545 420 79
1928 1229 51
278 1029 98
1451 1906 27
1593 129 48
1541 1294 67
1781 518 23
502 837 53
1412 1681 70
1852 134 91
134 1697 77
846 1638 68
356 1125 10
1086 1716 53
1694 1002 15
1596 269 15
996 1590 100
466 924 58
1448 458 57
878 1751 22
104 1377 87
238 1446 77
1585 114 100
1586 795 34
1622 657 31
1411 1099 73
466 760 65
535 1344 78
1361 991 54
485 1787 38
648 358 76
1662 1227 19
1694 1226 18
248 1252 99
450 952 96
1450 1482 80
1464 692 100
903 1667 97
1677 703 23
351 1234 25
5 627 38
81 1000 39
789 553 100
480 212 88
1910 1855 30
172 1011 97
210 65 45
802 1767 74
1784 1452 60
1653 1648 22
1179 389 60
350 1791 22
518 1214 18
624 343 73
843 1259 18
362 1464 84
1783 1731 77
946 1424 65
1187 1085 82
1919 1351 11
436 1244 47
813 595 42
656 1212 14
1796 362 52
635 1981 95
546 1690 40
665 102 73
674 1711 37
1892 1337 73
461 1774 70
123 74 33
1226 1970 53
1455 170 16
218 1870 68
944 1363 42
620 79 10
468 764 33
1773 577 47
1110 171 32
128 67 35
1589 526 95
1643 1101 74
1378 13 27
601 1379 65
13 1953 25
510 1741 16
727 1418 98
1500 1793 40
314 632 26
605 448 61
640 327 94
660 1680 31
436 1758 54
940 456 51
1577 1012 78
912 1379 40
1972 1603 20
1878 218 92
1462 107 10
1391 942 58
1877 1141 51
790 1256 50
1031 1404 53
1810 1986 20
700 672 82
340 1723 91
1946 384 38
675 1989 34
1876 45 23
1583 1628 43
812 138 24
1641 1890 43
1306 1111 26
1428 1667 40
109 300 52
317 1714 80
309 88 93
1352 1809 21
891 1713 86
1593 229 12
1019 323 33
1353 207 79
1598 401 54
1093 935 46
299 397 85
1268 566 89
1169 1162 17
1338 65 66
1110 547 35
161 878 84
1108 1861 46
345 83 50
1287 1239 41
1014 534 34
187 348 26
1165 1130 35
315 665 41
1821 1245 62
1878 1540 66
1407 1784 48
1917 1158 55
192 1978 31
768 941 68
1981 793 16
1097 1533 34
456 446 50
61 334 26
1060 1510 43
508 822 49
658 952 54
1763 1929 96
736 1815 25
198 1740 97
1697 1018 86
525 1966 77
199 703 44
1088 1390 74
1321 842 89
900 901 14
674 1847 78
333 491 65
1278 1933 33
278 1576 51
326 457 64
609 1479 71
1233 1360 79
1039 1882 64
1322 835 66
605 1140 20
668 219 71
619 1840 77
1014 1612 12
1627 1548 40
278 910 53
1340 1180 97
135 1570 39
598 1970 13
1668 1726 54
1724 49 12
1726 1626 76
289 1344 37
1506 182 25
1939 809 81
1548 355 86
1576 173 81
1908 783 22
1121 1969 33
528 684 71
1742 1685 52
913 1162 33
1892 458 41
807 511 54
733 551 79
1278 1696 12
773 510 92
686 1784 37
539 1402 75
585 1224 22
1779 1431 88
1134 696 98
1780 1586 100
478 102 93
391 729 59
767 1043 90
1686 1475 76
477 535 40
432 1944 31
1606 119 23
734 1139 84
1786 759 12
1016 1304 20
7 1433 64
63 860 30
660 1311 42
829 625 37
1063 1455 13
125 944 34
1332 1734 54
197 1603 83
258 100 88
1127 624 59
1982 1006 89
10 1533 22
30 520 87
313 1568 70
1354 1505 22
1648 1070 82
409 195 37
1038 317 30
918 1670 58
999 476 94
1629 598 91
1971 1446 87
1273 1418 55
289 659 61
1542 384 30
1756 1820 85
1587 1243 68
1202 263 42
1532 745 75
1700 1056 76
955 483 38
780 919 64
1124 647 49
1142 783 37
536 50 66
701 1452 79
990 1672 87
26 327 17
96 1509 13
678 784 13
1057 1303 19
1867 1917 63
53 1505 31
1397 1240 27
1862 780 76
564 212 95
406 137 83
1460 612 64
670 456 90
1961 879 46
1945 1347 91
1801 128 86
