1589 1920
197 118 45
242 133 28
284 1397 47
814 697 46
1212 548 86
236 63 67
181 1093 100
174 782 50
1423 714 95
317 560 13
1361 1105 94
550 1445 31
1490 982 39
482 961 91
274 1554 22
199 443 37
780 227 55
1006 1581 70
845 1455 64
234 911 47
1406 1545 42
326 1436 17
901 1085 96
1518 1055 76
932 900 37
391 1248 11
489 1041 80
468 1188 72
365 210 71
1042 276 23
453 367 20
1438 906 61
483 1290 33
318 1336 49
458 977 44
1216 636 98
1287 1038 33
1163 1297 20
666 1371 49
1212 516 46
418 602 39
463 1555 70
622 1243 93
62 795 61
611 842 34
259 241 87
42 694 56
617 1248 88
13 275 85
83 1180 17
1182 963 96
58 618 76
206 929 55
168 1025 76
1219 1010 51
150 257 57
122 365 24
1353 1245 91
1393 390 61
928 741 23
342 1159 34
1227 1495 92
962 1027 60
1582 1105 20
944 666 75
475 1082 70
1529 835 91
1263 719 45
231 814 95
307 1060 32
1464 759 47
571 325 21
1418 266 45
362 877 83
206 1037 82
801 1509 71
731 1456 97
1383 681 69
25 1231 56
203 1169 14
468 972 52
126 412 59
714 1511 75
565 224 44
848 1475 35
800 718 46
698 1465 18
58 1062 78
1176 292 79
852 1259 10
723 844 96
989 440 31
19 434 48
107 1004 83
840 405 48
2 81 96
1490 946 78
1535 745 36
303 949 99
1354 755 91
717 1106 35
281 1072 54
36 1327 38
633 940 28
993 1244 16
677 418 27
1424 916 61
399 266 58
1461 1335 49
597 1047 27
178 1002 23
1574 1055 71
1323 5 81
166 1127 88
307 1587 52
814 332 19
1000 195 78
1354 89 68
145 1372 39
1366 570 90
1165 1101 60
1380 1462 70
1292 1082 29
1139 137 80
711 281 54
1109 86 83
1525 171 55
75 1044 86
1351 1163 23
19 694 88
1276 1156 35
1002 1525 19
407 1064 76
386 146 70
493 1117 50
375 1034 64
37 527 38
19 1492 97
342 922 59
1393 595 71
649 741 94
362 1329 91
977 1395 54
468 775 49
1028 1582 64
995 223 97
626 512 83
1249 26 28
660 1363 37
438 1492 80
1568 1428 83
1561 1470 55
1193 143 48
702 1562 96
1423 1189 18
668 1156 71
1201 739 14
433 150 69
418 674 29
1145 432 21
1134 1391 98
1008 760 32
1359 45 61
439 1228 86
855 568 41
899 842 44
1455 23 87
781 664 90
1441 95 42
619 916 87
1409 149 12
1275 1414 47
948 811 56
1397 1453 66
845 1023 60
585 916 52
875 141 30
1147 1284 89
59 933 41
1398 660 27
703 880 83
780 1446 46
1390 1286 33
1546 1373 84
1561 146 21
1259 726 39
364 667 19
1143 1074 32
854 205 28
943 1257 61
66 1167 53
353 1411 79
1108 466 43
115 1223 71
1516 1558 42
1378 55 51
22 356 97
390 811 99
925 103 43
1272 492 22
1539 1424 96
496 926 33
984 751 43
1052 618 50
1526 108 25
668 789 22
1365 950 99
684 1290 85
1550 1135 56
914 135 80
592 1105 78
1052 66 36
233 91 19
260 1451 50
1549 1457 27
56 528 91
1220 362 52
1044 1151 55
607 396 11
529 902 21
1543 1325 97
1021 1399 35
62 1383 15
366 1281 43
1179 383 69
43 87 27
948 1545 91
996 1467 80
445 403 80
421 630 79
1293 978 80
1126 485 13
1108 730 99
1387 224 58
835 1332 39
938 673 47
251 187 39
1565 1159 29
1140 1315 92
1013 815 68
913 1120 11
526 365 48
1366 1036 10
165 1433 37
1436 899 51
423 223 41
1070 38 57
1582 1086 98
573 83 14
96 1233 53
1019 65 48
751 195 66
1233 1456 25
814 1003 13
233 734 75
1280 324 28
1293 1330 52
1035 1515 60
859 902 71
1084 385 56
797 236 85
1076 1051 35
351 1380 55
718 1519 90
784 191 27
1264 869 73
60 1499 56
1060 1064 62
838 1566 99
1491 490 28
595 1063 23
1529 234 94
166 498 48
167 278 84
1539 796 84
703 469 31
352 1438 46
422 1137 30
281 14 24
1128 221 80
904 1540 19
447 802 27
1520 737 38
1134 29 71
1001 975 92
889 1548 85
242 1106 45
570 424 100
994 240 37
743 1553 47
199 660 13
116 248 79
240 1010 36
389 1030 40
360 1139 58
94 95 16
403 847 28
1444 955 37
1464 714 56
694 398 65
383 536 98
147 391 66
729 1 34
1085 1027 45
584 488 99
2 1266 75
312 1192 72
754 591 30
1091 141 67
1140 1454 32
108 1424 55
1264 482 94
148 24 32
417 438 89
817 1406 34
906 435 10
44 1143 10
136 85 24
1170 1359 13
357 1496 69
930 748 13
814 618 65
57 1573 85
243 1021 11
846 1354 86
868 360 41
1581 348 82
1536 1355 35
1105 1427 96
1523 210 73
1380 742 55
660 183 51
137 19 43
252 1268 97
1196 752 22
1303 773 50
1013 179 68
860 202 82
786 88 14
1482 1064 11
1220 1145 36
736 1108 56
797 375 41
1066 681 65
293 1245 82
779 415 93
299 359 36
827 993 43
1578 768 19
284 931 97
749 139 94
1514 467 33
562 172 90
465 816 27
874 1262 86
1389 1216 60
1405 1477 17
1525 1096 76
1453 1033 77
1138 1344 55
1197 1288 50
946 1026 70
1388 982 95
1256 1138 76
433 676 18
192 765 78
756 516 76
409 1016 97
689 1279 23
502 1479 24
1286 524 96
1034 654 73
20 362 11
913 959 56
592 1364 99
919 961 85
1181 690 29
369 869 59
1040 782 30
385 515 30
457 1071 100
675 479 42
280 1518 43
599 1147 49
262 1333 42
284 1339 76
1148 402 27
620 1453 93
1335 778 65
285 1509 19
417 751 71
1350 1340 73
1439 379 58
1018 168 89
1217 499 74
1151 1371 57
5 949 71
658 682 82
811 685 77
1548 28 59
1438 1193 13
1146 588 35
768 974 43
514 627 60
558 748 26
1083 293 31
1138 402 34
1022 1422 76
1346 1407 43
970 1136 31
196 774 49
465 1135 17
552 911 19
612 423 73
1091 537 20
1455 847 78
116 661 44
296 1479 41
1514 1583 19
251 282 29
457 350 47
919 508 31
774 1156 78
1127 1113 35
148 492 85
1383 18 32
967 1322 93
351 670 56
1041 947 49
1437 1145 19
590 1175 58
814 576 67
985 19 26
1430 1036 95
1328 928 42
1166 1092 77
1350 764 89
1321 135 30
211 1154 96
1471 1147 37
968 291 52
1085 306 15
1528 200 92
247 1153 58
588 972 58
1514 258 74
1278 1176 81
1347 114 96
905 359 76
333 1118 68
433 313 51
1042 656 19
267 168 100
901 543 71
1531 95 35
351 649 62
1053 366 43
1360 912 43
1553 331 56
934 438 56
499 587 60
819 486 45
1279 281 32
1084 1243 80
262 383 55
1029 495 57
1474 554 35
92 425 20
207 663 31
967 1401 39
1470 810 52
1264 150 38
824 523 72
1274 79 36
466 1587 70
1339 1546 89
1564 1190 28
1138 411 45
1555 77 40
33 1357 90
1170 844 36
866 437 83
1584 85 11
193 1356 89
1490 1342 78
500 82 16
1052 848 87
1151 202 67
1274 1246 19
518 1266 33
1271 165 17
674 1550 68
1417 1010 89
840 61 32
381 1155 32
1001 52 68
1462 231 67
450 952 78
884 1327 43
1462 7 85
1413 704 32
1457 145 58
169 852 89
84 764 26
177 275 27
1313 1486 25
1399 467 44
798 802 19
740 387 94
1524 115 95
496 267 49
662 413 93
644 800 52
614 1114 61
172 143 28
468 1267 11
925 895 20
1352 1227 30
671 131 47
1578 93 83
970 1120 87
579 304 82
917 583 49
102 443 21
947 252 69
1265 70 58
1385 1203 72
611 679 53
1210 1276 92
565 432 47
476 172 16
242 1158 73
943 1565 70
225 470 87
1345 670 60
1191 1180 35
821 1430 74
1239 137 79
1148 1344 48
1095 479 54
235 1047 70
451 1527 62
1058 1372 21
232 1166 20
1157 1124 49
132 1329 46
609 1507 40
283 1105 31
1032 1324 68
789 1179 61
424 242 39
1309 991 14
459 416 40
161 403 41
850 517 32
483 807 48
1336 326 96
969 1501 20
1356 767 17
842 765 18
289 678 87
1541 1528 17
67 229 74
1492 221 59
641 1219 47
356 1092 16
717 967 72
182 1152 14
520 272 87
1528 354 89
1094 1038 34
1242 468 97
399 25 18
1188 495 61
1322 805 22
1269 855 23
200 969 53
412 1042 97
583 231 38
663 1114 33
1188 749 70
534 801 10
691 1111 34
1106 809 83
963 143 77
999 717 40
238 1402 71
344 58 72
247 608 87
177 670 87
774 1318 47
1153 740 28
158 584 53
652 128 58
475 845 61
1039 855 22
225 1352 31
590 1565 68
25 562 43
1113 1261 17
128 232 66
