2680 6066
148 1532 100
1325 225 91
2422 2067 21
888 2570 65
2326 843 17
2536 1116 96
1876 1663 48
2487 2230 15
985 894 99
887 267 14
33 2537 27
1872 214 10
1237 2045 94
420 1347 26
2546 1921 96
2100 2264 78
1648 1505 56
1216 1787 14
437 1687 99
1395 1147 77
1644 2181 18
481 2664 61
1160 176 16
2071 2242 55
2574 1801 48
1778 996 24
2152 1273 38
1061 2526 69
2565 1868 80
2573 1221 39
107 1594 54
2380 2287 97
484 1610 69
2275 1927 87
1234 1097 31
1183 591 26
1757 1556 25
340 2510 46
615 1767 74
1893 2315 56
2604 6 24
49 171 43
1271 1583 71
728 1615 100
84 658 32
622 737 71
1396 1394 31
1379 1989 76
41 1242 26
1557 2092 55
2482 1696 30
1245 234 24
1274 499 75
1413 1215 52
1171 1824 51
1427 229 24
1441 1029 85
1441 1719 75
1193 97 69
842 2660 72
2209 96 44
2237 1496 11
1528 1992 86
994 765 72
1572 569 39
155 1483 84
2470 1089 66
807 806 24
1960 2139 48
1555 585 14
2465 2531 79
586 2626 84
293 1425 64
816 1608 25
1403 1171 11
533 1265 49
2004 1936 59
1119 584 21
2268 2666 76
1460 635 41
2614 1650 81
2106 33 89
692 2210 65
1015 753 60
104 1877 38
2475 868 20
1475 1795 83
2212 711 74
1039 2035 13
2620 1140 86
359 1971 14
2362 2410 96
1949 275 50
1314 944 57
954 2300 53
1681 1858 91
1631 1902 60
929 1648 53
1150 1920 27
1566 2468 54
1864 220 27
1610 848 99
1670 583 52
826 55 29
1135 2373 46
1697 1901 37
2650 680 24
779 785 48
2506 2355 40
1106 2330 34
1782 477 92
1363 2325 48
2309 1917 65
132 14 65
80 160 69
1621 276 16
2322 72 97
1558 1053 59
588 1540 54
1343 573 15
2125 1879 66
2309 2400 95
2502 1006 92
1529 2202 98
2107 130 68
247 1451 98
2116 2465 71
1116 2393 49
2160 1203 50
97 1178 26
53 1041 21
518 1523 23
371 1475 23
348 2289 94
2330 2591 34
818 621 41
1296 2468 60
1814 2294 32
207 219 71
2181 2553 96
2593 912 34
220 812 69
2550 2423 43
1204 1464 85
640 2015 87
445 1293 87
369 983 81
290 183 23
477 471 95
842 460 81
1970 2454 53
2646 867 51
1543 756 17
1089 614 33
1857 972 31
834 1290 43
2602 2352 89
985 492 54
2410 827 36
183 1919 85
2149 500 96
1167 1518 73
2208 1481 33
1660 1753 25
1325 1453 39
2366 942 81
1593 1751 75
613 2425 82
354 2234 24
2204 120 61
2136 2423 39
1209 647 53
2397 1114 36
2209 2586 69
441 868 11
452 672 18
2061 780 51
123 2301 30
1764 1379 71
1396 1054 10
2404 2606 34
204 2022 32
2594 1183 48
2664 1836 26
273 2575 74
292 1362 65
1229 401 30
1026 1380 14
2011 953 98
2459 422 73
1984 1422 100
366 1271 72
872 2447 67
479 456 63
2 1811 43
2075 241 43
513 2277 69
1235 908 86
2256 1291 65
2231 1231 89
931 461 47
63 2478 69
1774 1089 10
1545 310 60
1499 1173 35
2292 2032 17
305 64 10
1270 2304 13
1758 2095 12
112 2583 49
2557 2503 76
1901 829 69
1691 1906 55
616 464 35
2182 2409 39
366 61 55
2647 1484 70
1171 329 30
2014 1554 25
1685 318 94
1372 2601 49
850 2214 62
122 1270 30
2558 775 34
366 494 61
5 2130 57
945 2100 25
1169 1799 57
1211 303 30
2448 128 67
1833 975 94
573 1506 57
405 447 88
2652 20 29
1648 260 78
409 1193 79
1590 1214 92
1618 1577 96
116 1415 59
478 1805 13
2560 2045 43
1730 385 86
256 2199 23
138 1001 90
327 1766 34
1441 2308 26
1004 234 63
166 1025 72
2389 1439 74
2368 366 65
1671 1691 100
2215 1243 24
681 2149 17
1033 1657 87
324 1191 40
1202 1064 73
59 1126 23
2365 963 23
886 2471 82
312 743 100
112 1319 95
144 1796 78
2082 1711 32
570 935 41
381 1709 52
13 2231 26
1536 901 25
343 1095 74
1155 2632 90
2374 987 46
317 2477 98
841 2611 27
103 1170 58
779 2047 65
2120 392 73
2614 2525 82
980 2062 35
1307 2583 62
711 453 87
2027 726 18
158 147 59
1153 78 73
1909 607 94
99 1783 73
117 2024 46
653 1593 46
491 1397 84
2022 513 75
2147 1171 100
35 476 92
2504 1649 21
2509 2558 44
2147 1202 47
1440 2301 74
918 800 12
794 417 97
1751 2059 27
1856 2490 22
1083 2431 25
1421 2033 39
1805 135 70
2276 2345 50
1264 1422 61
682 1918 19
1055 18 33
2673 1635 25
562 1790 13
1039 1157 67
2652 1502 57
1268 1669 24
1067 1758 10
377 2030 80
2072 478 74
1344 2124 90
548 2250 76
431 1759 73
180 2247 47
1809 963 85
57 2069 44
2006 988 39
1794 200 44
1155 2523 27
1761 1293 79
1556 1974 58
1960 2507 49
1156 575 66
481 844 90
2249 1294 23
503 2061 90
2007 2442 96
980 1327 23
2505 932 12
1977 2048 57
1522 750 50
841 430 95
2613 1033 14
292 2448 82
1878 396 82
1049 1268 32
135 93 47
2438 2163 67
1733 2042 74
1620 352 36
1445 1837 30
1837 778 16
179 1436 15
375 2554 43
773 2205 12
347 2012 48
1434 2347 49
764 265 67
2423 550 69
2044 1227 64
2265 2628 17
2278 2416 89
1129 941 15
2668 38 80
2383 1805 20
