5589 7391
4609 4172 22
2654 2698 60
878 4916 82
1671 5078 75
3064 2157 67
2589 4985 82
2490 5119 86
3853 368 57
1311 3015 75
601 5186 42
1888 5429 20
3203 1604 20
2854 609 92
5393 3526 15
3590 2841 32
3494 5410 28
2506 4993 50
3236 280 41
1753 5147 22
3375 2874 96
4521 384 95
3727 1220 78
3157 111 33
1210 2367 20
3272 2588 53
80 2809 84
670 2304 63
705 3378 99
1365 2751 19
3254 5382 91
4456 21 14
2660 5117 26
2293 1214 86
917 4360 49
960 5274 68
192 2627 54
5206 4588 31
2695 22 86
3906 3999 35
3454 4327 51
1672 757 70
2469 1051 85
4818 327 99
1075 112 40
1761 3225 91
1374 2477 40
3934 2122 81
4469 1890 80
5334 3158 74
5089 1463 34
2914 3888 24
4009 3510 33
5373 1451 76
4064 5090 45
2004 4219 84
1939 2465 100
2884 2770 36
2708 3437 47
2508 4340 40
2179 2405 19
3072 2056 68
936 4069 54
3262 4367 80
3816 2609 57
2679 1161 24
2365 1965 45
1606 3765 34
2411 890 43
70 99 96
1933 5002 22
4307 1387 64
4237 3370 30
2917 5305 82
5416 1120 53
5381 5460 68
2635 993 50
1753 1183 82
210 5004 17
3091 3978 87
410 3789 63
5097 3262 75
2415 3657 69
2256 3510 65
3038 5113 15
1678 3037 50
1978 676 53
3672 5241 89
4095 4969 31
992 4880 68
3351 3378 75
310 1542 57
409 2352 90
1931 2923 26
3580 3712 65
1002 1073 44
2398 219 53
2017 1033 85
2639 2390 62
906 14 78
216 2983 98
5179 4519 69
5082 473 31
4019 2882 22
742 5432 71
5290 3627 64
3414 1388 75
5193 2239 25
629 4876 44
2004 4582 37
227 2731 22
4039 4008 55
4597 2814 19
5317 3182 30
4776 796 37
4754 4824 81
519 1951 46
3608 4825 58
1164 1985 61
2764 642 75
2600 3561 14
3938 4943 40
449 4290 34
1926 4910 95
2289 3186 68
1455 3931 100
4674 5240 16
1139 5342 58
1134 2106 55
5548 5192 21
714 927 76
5346 402 96
1926 4685 42
4530 2244 45
3491 3337 67
4708 3815 22
3303 495 53
3714 38 62
5512 3659 99
4788 1631 27
2076 1697 30
5056 5051 66
2175 3044 10
4983 4093 67
2448 366 30
1880 4479 31
3553 5086 82
4635 2662 75
4163 3660 35
2200 5551 44
1575 771 50
3348 3735 45
3838 3684 40
2176 5224 47
2482 5284 73
4830 2956 84
4245 2317 64
4600 3421 30
4177 2390 48
2209 1618 67
2580 4339 67
5559 34 59
2820 5540 10
884 2578 40
3240 2133 19
2392 4542 43
984 4256 67
5458 23 17
473 5543 62
4750 4325 64
375 3552 37
2632 2947 64
1394 3543 21
3004 4610 16
1893 3826 71
1468 136 33
1881 5577 33
5517 3609 10
1185 2108 70
3900 2206 52
240 2547 94
3606 2632 53
1016 5444 77
1635 2125 10
3868 4366 89
3150 3230 36
3530 341 32
3533 4716 79
517 3343 20
4058 5407 78
2936 1325 25
325 4218 91
101 3432 100
2646 4881 77
4944 2430 28
1934 2030 92
2 3412 78
518 1186 10
763 4944 70
2323 545 83
1050 4854 42
2691 4562 56
1718 1988 93
4596 2699 21
5323 4406 44
1938 3552 59
4061 5120 79
2198 60 27
5403 1682 77
5021 5571 95
4008 2726 17
718 4148 78
3554 3486 18
5112 1156 93
567 4934 43
1460 916 39
4161 1894 55
2910 3564 44
4344 1164 42
3460 5521 82
2061 4302 10
2208 3936 62
2288 1960 100
4072 529 68
2881 1134 77
3019 3013 60
5260 1094 100
4935 4771 84
2253 1755 90
1766 1659 37
749 2140 76
3841 2826 16
4509 4242 58
770 4368 50
4695 4053 70
1828 451 71
1331 3193 55
3722 3331 86
2666 4430 87
284 1525 33
4970 4703 26
1163 26 93
580 1415 57
289 3498 89
3217 3128 49
1122 1198 39
3830 2536 85
4249 1728 77
2078 3730 93
972 5313 22
1306 656 92
1188 5577 45
2318 2429 80
3754 3840 57
2960 5240 51
3855 3485 91
3237 1389 36
802 4603 47
1625 1963 87
406 418 10
5187 3111 95
4736 3227 21
5459 4760 25
4251 4075 97
734 2283 24
1440 4307 94
5165 2045 62
2016 4794 75
5407 4120 70
937 2366 64
1996 2092 42
881 5136 69
3685 2819 58
5124 3131 76
3309 2039 11
634 3537 51
4625 560 38
