350 468
96 67 72
167 201 81
237 220 51
194 335 14
278 155 12
71 282 71
176 13 85
209 301 51
203 43 48
113 126 36
236 314 13
116 56 86
322 156 39
116 270 74
15 16 56
61 44 97
108 217 62
68 297 58
160 26 99
112 240 96
185 240 90
59 271 79
241 303 88
148 8 59
166 179 59
187 217 40
225 302 41
65 342 84
298 216 17
216 240 26
72 84 31
110 215 93
43 198 70
45 182 22
181 190 95
336 155 92
324 291 54
197 342 99
124 105 43
92 36 14
97 127 72
84 38 19
78 303 62
23 45 22
15 137 44
69 101 35
207 16 13
143 91 34
140 234 84
153 15 61
276 236 17
317 145 74
306 295 62
329 233 29
188 235 16
320 39 29
67 77 77
26 39 31
106 346 18
343 302 99
289 218 40
281 327 70
89 92 57
56 130 85
304 111 100
153 105 35
242 25 19
211 302 92
177 344 15
23 61 77
172 218 52
299 105 36
193 194 86
93 339 17
184 289 95
92 138 91
87 258 25
43 8 76
72 180 59
136 319 43
187 346 50
233 54 45
77 91 87
281 34 85
22 207 36
310 300 95
187 271 81
266 219 92
219 63 32
120 238 26
61 158 27
344 187 61
226 159 30
147 111 74
236 78 17
52 56 58
33 52 15
199 103 29
147 65 89
282 254 75
120 118 47
223 301 21
20 220 96
244 122 21
91 123 42
206 100 46
262 320 10
27 29 41
155 341 29
323 226 76
291 236 47
179 26 48
272 76 19
229 114 96
13 232 47
349 100 85
292 182 54
256 84 13
265 51 87
103 151 36
108 250 90
100 150 25
179 226 100
260 4 52
45 337 84
237 234 80
262 32 41
13 27 10
262 171 66
29 283 71
156 341 25
99 83 76
271 75 42
101 10 61
38 105 98
182 253 93
243 44 91
173 26 70
22 128 67
195 112 73
26 121 88
341 179 73
99 336 91
204 111 76
19 0 89
326 305 75
315 273 87
220 185 86
40 8 88
148 300 17
328 210 33
114 161 40
258 99 53
277 137 70
56 193 34
61 231 22
172 224 49
56 257 29
142 218 60
4 138 32
271 201 23
7 151 45
201 16 81
134 339 100
136 245 79
134 286 14
27 199 12
269 343 100
171 103 31
8 87 32
175 211 12
208 329 88
251 125 33
187 34 15
312 146 60
12 160 81
200 165 97
0 215 21
146 181 50
320 64 63
65 142 30
204 9 96
54 97 85
284 31 47
76 346 52
57 330 58
143 238 79
47 77 54
36 108 43
108 259 64
280 31 43
78 130 97
126 286 76
185 190 80
283 204 33
327 108 46
231 184 46
174 127 65
197 79 43
71 244 58
224 143 83
228 327 37
57 130 78
230 114 66
119 217 59
207 304 37
73 198 27
192 155 86
256 243 29
46 154 90
330 295 35
23 167 11
249 17 81
86 170 23
291 60 34
164 308 96
344 31 13
300 250 70
340 294 64
40 192 65
38 109 31
245 256 87
261 28 14
307 70 85
5 264 13
5 302 86
125 190 31
116 100 29
145 54 16
218 298 40
45 349 70
125 150 64
109 24 50
271 209 28
71 320 22
93 274 12
222 311 39
188 282 95
45 142 84
39 169 33
271 174 32
184 312 54
291 280 43
305 47 10
276 345 99
30 270 11
131 83 97
301 49 50
129 76 27
323 79 58
110 9 33
238 6 39
154 278 78
113 179 63
62 173 61
271 44 66
323 227 60
221 284 85
157 178 42
347 47 44
44 323 19
195 197 94
299 65 36
3 66 72
87 128 55
223 319 90
275 30 39
217 222 98
221 71 54
7 131 54
348 111 38
306 313 35
45 32 80
28 210 63
314 111 98
106 80 37
136 216 42
164 160 92
17 212 32
86 80 17
135 209 45
111 77 84
278 60 95
152 189 62
148 224 45
313 278 24
283 48 29
9 193 22
183 161 55
169 274 33
281 311 81
50 149 99
196 163 47
46 215 18
183 298 51
10 301 95
229 239 53
321 272 80
330 285 82
330 288 100
182 277 32
270 186 44
148 151 79
234 219 24
131 60 22
340 177 48
144 78 52
120 244 12
35 0 24
52 331 70
120 9 34
268 104 48
221 236 93
226 71 44
306 316 73
258 278 15
207 308 84
187 288 50
3 125 55
41 14 20
54 310 93
153 38 61
86 266 27
149 113 47
77 104 34
146 181 24
168 18 74
182 179 81
164 99 81
189 82 50
23 165 33
5 242 98
310 210 15
10 240 30
0 262 83
56 293 55
294 68 32
242 54 19
171 188 29
46 291 53
276 83 97
326 118 10
200 114 12
287 252 83
322 335 13
286 5 16
165 65 81
199 72 84
255 283 39
143 53 89
52 236 59
183 327 13
348 221 41
330 12 61
261 209 45
2 226 65
346 27 95
89 322 79
151 106 34
297 45 73
112 181 48
349 295 94
188 96 51
290 297 57
85 124 62
182 136 84
258 93 86
136 110 39
101 313 37
267 30 38
64 104 87
136 75 63
85 45 91
165 5 95
78 280 28
200 296 65
225 37 95
157 336 81
261 220 35
84 269 76
149 4 71
24 302 98
182 292 80
5 76 55
287 70 100
96 310 42
166 179 51
280 347 95
45 132 37
201 306 73
146 220 62
78 199 12
138 141 89
33 327 36
135 245 100
343 287 72
79 156 26
85 297 41
147 68 67
217 237 64
46 212 78
88 317 20
318 300 98
243 190 32
313 65 93
158 315 85
234 294 17
326 2 55
275 204 95
207 332 42
83 4 38
326 129 41
217 278 87
41 246 84
126 190 37
116 130 69
50 203 57
295 54 44
239 3 72
35 233 20
223 326 94
187 211 81
13 290 37
179 294 97
166 231 35
12 180 86
147 262 62
23 7 43
62 239 11
314 3 26
309 154 75
162 78 45
132 20 65
19 281 31
71 313 100
144 288 67
344 27 72
158 86 47
322 212 95
272 245 86
37 276 21
13 209 90
232 123 18
60 287 24
145 137 73
57 172 60
216 192 46
8 168 52
20 333 33
62 73 59
328 205 40
97 92 21
87 146 52
110 18 50
119 181 52
139 275 70
189 157 93
246 288 37
103 3 25
43 87 77
278 206 14
117 59 14
262 151 47
311 226 66
108 327 61
224 184 75
329 334 77
108 40 69
